day;avg_size;avg_speed;avg_senserange;dominant_size;dominant_speed;dominant_sense;n_creatures
0;1000;1000;1000;0;0;0;50
1;999;999;999;0;0;0;50
2;998;999;999;36;73;158;82
3;998;1000;999;129;116;220;77
4;998;1000;999;140;84;183;71
5;998;1001;1000;154;84;211;71
6;998;1001;1000;194;149;194;67
7;998;1002;1000;160;123;185;81
8;999;1003;1001;138;166;166;72
9;1000;1004;1002;196;181;106;66
10;1001;1006;1003;191;123;95;73
11;1001;1007;1002;130;101;115;69
12;1000;1008;1002;80;145;112;62
13;1001;1009;1002;64;225;80;62
14;1001;1013;1000;44;328;74;67
15;1001;1015;1001;27;402;41;72
16;1002;1017;1002;43;521;57;69
17;1003;1019;1001;54;575;82;73
18;1002;1022;1002;58;632;88;68
19;1001;1023;1002;57;642;114;70
20;1000;1024;1003;62;703;93;64
21;998;1025;1003;62;656;31;64
22;997;1025;1004;75;651;30;66
23;1000;1027;1001;166;652;41;72
24;1003;1028;1003;190;634;47;63
25;1002;1028;1003;105;701;35;57
26;1006;1030;1000;142;785;57;70
27;1007;1032;1003;138;815;76;65
28;1007;1035;1003;164;880;134;67
29;1006;1037;1003;179;910;149;67
30;1005;1037;1003;155;965;86;58
31;1003;1040;1002;132;955;102;68
32;1004;1043;999;123;984;107;65
33;1004;1044;999;112;983;145;62
34;1005;1047;999;104;970;119;67
35;1005;1048;1001;47;984;79;63
36;1004;1050;1001;74;955;89;67
37;1004;1052;998;79;920;142;63
38;1007;1055;998;60;893;136;66
39;1010;1058;998;111;861;138;72
40;1009;1061;998;101;855;144;69
41;1008;1062;998;62;812;140;64
42;1010;1063;999;16;864;135;59
43;1007;1066;1000;31;921;156;64
44;1008;1068;1000;32;935;129;62
45;1010;1070;999;18;925;129;54
46;1011;1071;1001;0;933;133;60
47;1008;1075;1003;0;923;153;65
48;1010;1074;1001;0;864;169;59
49;1010;1074;1001;0;887;145;62
50;1009;1075;1002;0;900;166;60
51;1007;1077;1001;0;883;199;60
52;1006;1079;1000;0;892;160;56
53;1010;1081;997;0;916;150;60
54;1014;1084;999;0;951;145;62
55;1016;1086;999;0;950;150;60
56;1013;1089;1002;0;949;169;59
57;1011;1091;1006;0;913;189;58
58;1011;1092;1005;0;932;237;59
59;1012;1094;1005;0;937;250;64
60;1011;1096;1009;0;964;263;57
61;1009;1098;1014;0;981;327;55
62;1009;1100;1017;0;1000;448;58
63;1009;1101;1015;0;1000;416;60
64;1011;1104;1019;0;999;372;59
65;1012;1110;1022;0;1000;461;52
66;1015;1109;1020;0;1000;596;52
67;1016;1110;1021;0;999;698;53
68;1020;1114;1019;0;1000;692;52
69;1017;1115;1019;0;1000;692;52
70;1016;1115;1019;0;1000;745;55
71;1015;1116;1020;0;999;728;59
72;1015;1116;1023;0;999;754;53
73;1016;1119;1021;0;1000;823;51
74;1016;1121;1018;0;999;792;53
75;1017;1125;1024;0;1000;800;55
76;1017;1126;1028;0;1000;875;48
77;1019;1128;1025;0;1000;872;47
78;1022;1131;1028;0;1000;826;52
79;1023;1132;1029;0;1000;875;48
80;1023;1133;1031;0;1000;918;49
81;1021;1134;1032;0;1000;942;52
82;1019;1135;1033;0;999;962;53
83;1019;1139;1035;0;1000;1000;50
84;1020;1140;1035;0;999;999;46
85;1021;1141;1037;0;1000;1000;50
86;1023;1146;1037;0;1000;1000;51
87;1020;1150;1037;0;1000;1000;49
88;1018;1152;1039;0;1000;1000;47
89;1019;1153;1040;0;1000;1000;47
90;1018;1155;1038;0;1000;1000;48
91;1018;1158;1035;0;1000;1000;49
92;1016;1160;1032;0;1000;1000;49
93;1016;1161;1031;0;999;999;46
94;1017;1163;1029;0;1000;1000;43
95;1016;1162;1031;0;999;999;44
96;1013;1166;1032;0;1000;1000;48
97;1012;1167;1035;0;999;999;46
98;1013;1169;1032;0;999;999;46
99;1010;1172;1030;0;1000;1000;43
100;1010;1172;1029;0;1000;1000;42
101;1008;1177;1026;0;1000;1000;47
102;1009;1179;1028;0;1000;1000;45
103;1009;1179;1027;0;1000;1000;45
104;1008;1182;1027;0;1000;1000;45
105;1007;1183;1029;0;1000;1000;45
106;1006;1186;1028;0;1000;1000;48
107;1004;1183;1028;0;1000;1000;47
108;1007;1185;1029;0;1000;1000;41
109;1012;1184;1032;0;999;999;38
110;1011;1188;1032;0;1000;1000;42
111;1010;1190;1034;0;1000;1000;47
112;1007;1194;1035;0;999;999;44
113;1006;1195;1035;0;999;999;44
114;1003;1196;1036;0;1000;1000;40
115;1004;1197;1038;0;1000;1000;45
116;1005;1197;1034;0;1000;1000;40
117;1005;1197;1033;0;999;999;46
118;1005;1198;1031;0;999;999;46
119;1008;1198;1031;0;999;999;44
120;1006;1198;1029;0;1000;1000;41
121;1004;1200;1030;0;999;999;44
122;999;1201;1026;0;1000;1000;42
123;998;1201;1028;0;1000;1000;39
124;992;1201;1028;0;1000;1000;42
125;989;1201;1027;0;1000;1000;42
126;988;1199;1024;0;999;999;44
127;988;1199;1023;0;1000;1000;40
128;989;1202;1026;0;1000;1000;40
129;990;1201;1029;0;1000;1000;41
130;989;1202;1031;0;1000;1000;42
131;992;1202;1036;0;1000;1000;48
132;994;1202;1036;0;999;999;46
133;994;1201;1035;0;1000;1000;45
134;993;1200;1036;0;1000;1000;41
135;993;1199;1037;0;999;999;44
136;995;1199;1036;0;999;999;44
137;996;1200;1038;0;1000;1000;43
138;998;1201;1038;0;999;999;46
139;1002;1201;1040;0;1000;1000;42
140;1005;1207;1042;0;1000;1000;42
141;1004;1212;1045;0;1000;1000;41
142;1003;1216;1045;0;1000;1000;41
143;1001;1215;1045;0;1000;1000;42
144;999;1216;1044;0;1000;1000;39
145;1005;1222;1045;0;1000;1000;45
146;1006;1224;1041;0;999;999;44
147;1003;1230;1043;0;1000;1000;41
148;1003;1230;1045;0;1000;1000;42
149;1003;1232;1046;0;1000;1000;41
150;1004;1234;1046;0;999;999;44
151;1004;1239;1044;0;1000;1000;41
152;1004;1240;1046;0;1000;1000;39
153;1005;1243;1046;0;1000;1000;36
154;1007;1246;1051;0;1000;1000;39
155;1009;1248;1056;0;1000;1000;39
156;1008;1248;1057;0;1000;1000;36
157;1009;1249;1057;0;999;999;38
158;1009;1248;1053;0;1000;1000;42
159;1010;1249;1052;0;1000;1000;40
160;1013;1251;1050;0;999;999;33
161;1014;1252;1048;0;1000;1000;34
162;1017;1253;1051;0;999;999;31
163;1018;1256;1045;0;999;999;33
164;1019;1256;1046;0;1000;1000;35
165;1020;1256;1049;0;999;999;33
166;1021;1257;1051;0;1000;1000;36
167;1020;1254;1052;0;1000;1000;35
168;1018;1251;1047;0;999;999;33
169;1019;1251;1045;0;1000;1000;35
170;1018;1254;1052;0;999;999;37
171;1016;1255;1054;0;1000;1000;39
172;1014;1257;1057;0;1000;1000;36
173;1014;1253;1063;0;999;999;38
174;1018;1254;1072;0;1000;1000;34
175;1020;1255;1071;0;1000;1000;36
176;1023;1258;1071;0;1000;1000;36
177;1025;1260;1070;0;1000;1000;35
178;1027;1265;1063;0;999;999;33
179;1027;1264;1061;0;999;999;29
180;1028;1264;1059;0;999;999;31
181;1028;1265;1060;0;1000;1000;35
182;1028;1263;1061;0;999;999;37
183;1027;1260;1067;0;1000;1000;32
184;1025;1259;1074;0;999;999;31
185;1023;1258;1074;0;1000;1000;32
186;1021;1256;1075;0;1000;1000;36
187;1023;1259;1075;0;999;999;37
188;1024;1262;1078;0;1000;1000;35
189;1024;1260;1075;0;1000;1000;32
190;1023;1262;1074;0;1000;1000;35
191;1022;1266;1074;0;1000;1000;35
192;1022;1269;1072;0;999;999;33
193;1022;1266;1075;0;1000;1000;32
194;1024;1267;1075;0;999;999;30
195;1024;1264;1074;0;999;999;28
196;1025;1262;1071;0;999;999;30
197;1024;1262;1073;0;1000;1000;32
198;1022;1263;1072;0;999;999;33
199;1021;1262;1070;0;1000;1000;35
