day;avg_size;avg_speed;avg_senserange;n_creatures
0;1000;1000;1000;50
1;1000;1000;1000;50
2;1000;1000;1000;71
3;1000;1000;1000;68
4;1000;1000;1000;65
5;1000;1001;1001;64
6;1000;1001;1001;60
7;1000;1001;1001;63
8;1000;1001;1001;60
9;1000;1002;1001;64
10;1000;1002;1001;64
11;1000;1003;1001;61
12;1000;1003;1001;64
13;999;1003;1001;64
14;999;1004;1001;66
15;1000;1004;1001;58
16;1001;1004;1000;58
17;1001;1005;1000;68
18;1002;1005;1000;64
19;1002;1006;1000;61
20;1004;1007;1000;59
21;1004;1006;1000;55
22;1004;1007;1000;61
23;1004;1006;1001;60
24;1005;1007;1001;58
25;1006;1008;1001;56
26;1006;1008;1000;56
27;1006;1009;1000;58
28;1006;1010;1000;56
29;1006;1010;1000;63
30;1007;1012;1001;64
31;1006;1012;1002;61
32;1007;1013;1002;54
33;1006;1013;1001;55
34;1006;1014;1001;59
35;1006;1015;1002;60
36;1007;1016;1002;63
37;1008;1016;1003;60
38;1007;1017;1004;58
39;1007;1016;1003;56
40;1008;1017;1005;55
41;1008;1018;1004;56
42;1008;1019;1003;62
43;1006;1020;1003;61
44;1007;1021;1002;57
45;1008;1021;1002;54
46;1009;1022;1002;56
47;1008;1023;1003;56
48;1008;1023;1003;55
49;1008;1024;1002;55
50;1006;1025;1001;52
51;1006;1025;1000;51
52;1006;1027;1001;53
53;1006;1026;1000;58
54;1007;1027;999;60
55;1008;1027;1000;61
56;1008;1027;999;55
57;1009;1029;1000;61
58;1009;1030;999;52
59;1009;1031;1001;56
60;1010;1030;1002;60
61;1011;1031;1002;57
62;1011;1032;1001;54
63;1011;1032;1001;59
64;1012;1033;999;55
65;1012;1033;1000;54
66;1011;1033;999;53
67;1010;1034;999;55
68;1011;1035;998;59
69;1011;1035;998;55
70;1012;1035;1000;56
71;1012;1035;999;55
72;1013;1035;1000;58
73;1013;1037;1001;61
74;1013;1037;1002;56
75;1013;1038;1002;61
76;1013;1039;1003;59
77;1012;1042;1003;51
78;1012;1042;1002;51
79;1012;1042;1002;57
80;1011;1043;1004;58
81;1010;1044;1004;58
82;1010;1043;1005;54
83;1011;1044;1006;56
84;1010;1045;1005;57
85;1012;1045;1005;58
86;1011;1045;1006;52
87;1012;1047;1006;55
88;1012;1048;1006;55
89;1011;1051;1007;53
90;1011;1052;1006;55
91;1011;1053;1005;55
92;1012;1056;1005;54
93;1012;1056;1005;51
94;1012;1056;1004;51
95;1012;1057;1005;57
96;1014;1061;1004;57
97;1015;1062;1003;56
98;1015;1063;1002;53
99;1015;1064;1002;53
100;1016;1063;1002;53
101;1015;1066;1001;50
102;1014;1066;1000;49
103;1014;1068;1001;53
104;1014;1069;1001;53
105;1015;1072;998;54
106;1015;1072;997;53
107;1015;1073;999;55
108;1016;1072;997;55
109;1016;1072;996;54
110;1017;1072;999;51
111;1017;1074;999;50
112;1017;1075;998;50
113;1015;1075;998;52
114;1014;1074;1001;52
115;1014;1075;1000;49
116;1013;1076;999;56
117;1013;1077;999;54
118;1013;1075;1001;47
119;1014;1075;1002;52
120;1014;1076;1002;57
121;1013;1077;1004;53
122;1013;1077;1004;52
123;1013;1079;1004;50
124;1013;1081;1005;52
125;1013;1081;1004;53
126;1012;1082;1005;53
127;1013;1084;1004;54
128;1014;1085;1004;50
129;1014;1085;1003;52
130;1015;1087;1001;55
131;1015;1088;1000;50
132;1014;1088;1000;51
133;1014;1090;1000;56
134;1015;1091;1000;52
135;1014;1091;998;46
136;1014;1091;998;52
137;1014;1091;997;55
138;1013;1091;996;48
139;1012;1091;999;51
140;1011;1092;998;56
141;1011;1093;1000;56
142;1011;1093;1001;47
143;1012;1093;1001;54
144;1012;1093;1002;53
145;1011;1094;999;53
146;1011;1095;1000;48
147;1010;1095;1001;49
148;1009;1095;1002;49
149;1009;1095;1000;49
150;1009;1095;998;45
151;1009;1095;994;50
152;1010;1095;996;47
153;1010;1096;997;51
154;1010;1096;998;47
155;1011;1096;999;50
156;1011;1096;999;50
157;1010;1097;997;52
158;1009;1097;995;49
159;1009;1097;995;46
160;1009;1097;993;51
161;1010;1096;993;48
162;1009;1097;994;52
163;1010;1099;993;51
164;1011;1099;995;48
165;1010;1100;991;49
166;1009;1100;989;44
167;1008;1100;986;44
168;1009;1101;988;46
169;1008;1102;988;40
170;1010;1099;989;44
171;1011;1099;988;46
172;1011;1100;985;49
173;1012;1101;986;46
174;1010;1102;986;47
175;1010;1102;990;50
176;1012;1103;994;45
177;1013;1104;994;42
178;1012;1105;992;49
179;1014;1105;994;48
180;1015;1106;995;53
181;1015;1106;995;42
182;1015;1106;995;42
183;1014;1107;994;47
184;1012;1108;992;53
185;1012;1108;991;41
186;1014;1108;989;45
187;1013;1109;987;53
188;1014;1110;987;48
189;1015;1110;987;44
190;1013;1111;986;49
191;1013;1112;983;52
192;1012;1112;983;44
193;1012;1112;982;42
194;1011;1112;985;49
195;1012;1114;983;46
196;1012;1114;984;46
197;1012;1116;986;44
198;1011;1117;987;45
199;1013;1117;985;48
200;1014;1118;983;47
201;1014;1117;987;48
202;1015;1117;985;44
203;1014;1117;984;50
204;1013;1120;986;48
205;1013;1120;986;42
206;1013;1122;983;46
207;1013;1124;980;45
208;1014;1125;980;44
209;1014;1125;978;46
210;1013;1126;978;52
211;1012;1126;978;47
212;1011;1125;978;47
213;1012;1127;977;44
214;1011;1128;975;45
215;1012;1130;973;43
216;1012;1130;972;40
217;1011;1129;975;40
218;1011;1129;975;43
219;1012;1131;975;40
220;1012;1132;977;37
221;1011;1131;978;40
222;1011;1131;977;43
223;1012;1132;977;42
224;1012;1129;978;37
225;1013;1126;977;32
226;1014;1125;977;36
227;1014;1124;977;34
228;1013;1123;977;39
229;1014;1123;977;42
230;1015;1125;977;43
231;1015;1126;976;41
232;1014;1125;976;41
233;1014;1125;976;41
234;1014;1125;976;40
235;1014;1124;976;40
236;1015;1124;975;42
237;1014;1125;975;43
238;1017;1123;976;47
239;1017;1122;976;40
240;1016;1122;975;38
241;1016;1122;975;43
242;1016;1123;975;46
243;1014;1124;976;42
244;1015;1124;977;40
245;1014;1125;977;42
246;1014;1126;976;41
247;1015;1127;975;39
248;1017;1127;975;35
249;1016;1126;976;38
250;1016;1126;976;40
251;1016;1123;976;41
252;1017;1124;976;45
253;1017;1125;977;45
254;1016;1127;979;41
255;1017;1127;980;38
256;1017;1127;979;38
257;1017;1127;979;39
258;1016;1127;980;39
259;1016;1127;979;41
260;1017;1126;979;40
261;1017;1127;978;42
