day	avg_size	avg_speed	avg_senserange	n_creatures
0	1000	1000	1000	50
1	999	999	999	50
2	1000	1000	1000	290
3	1000	1001	1000	545
4	1000	1003	1000	612
5	1001	1004	1000	674
6	1001	1006	1000	726
7	1001	1008	1001	655
8	1001	1010	1001	642
9	1002	1013	1001	717
10	1002	1015	1001	645
11	1003	1018	1001	591
12	1003	1020	1000	668
13	1004	1023	1000	688
14	1004	1026	1000	597
15	1004	1029	999	625
16	1005	1032	1000	605
17	1005	1035	999	619
18	1005	1038	1000	682
19	1005	1041	1000	634
20	1006	1044	1001	625
21	1006	1048	1002	592
22	1005	1050	1002	555
23	1005	1053	1002	589
24	1005	1055	1001	585
25	1004	1057	1001	602
26	1004	1060	1001	593
27	1004	1063	1001	515
28	1004	1066	1002	546
29	1005	1069	1001	627
30	1005	1072	1001	623
31	1004	1075	1001	631
32	1005	1078	1001	614
33	1006	1081	1000	530
34	1007	1083	1000	551
35	1008	1086	999	598
36	1008	1089	998	579
37	1009	1091	998	541
38	1009	1093	999	557
39	1010	1096	999	550
40	1011	1099	999	535
41	1011	1103	999	530
42	1012	1107	1000	532
43	1012	1110	1000	532
44	1013	1114	1000	545
45	1013	1117	1000	573
46	1013	1120	1000	553
47	1013	1123	1000	550
48	1013	1127	1000	555
49	1014	1131	1001	489
50	1014	1135	1001	488
51	1014	1139	1001	501
52	1014	1143	1001	495
53	1014	1146	1001	532
54	1014	1149	1001	540
55	1014	1153	1002	485
56	1015	1156	1002	467
57	1016	1159	1001	489
58	1016	1162	1001	522
59	1015	1165	1000	520
60	1015	1168	1000	465
61	1015	1170	1001	460
62	1015	1173	1000	499
63	1015	1176	1000	472
64	1016	1178	1000	422
65	1016	1181	1001	464
66	1015	1184	1002	470
67	1014	1186	1003	443
68	1013	1189	1003	431
69	1013	1192	1003	410
70	1013	1194	1002	456
71	1013	1197	1001	464
72	1015	1199	1001	425
73	1015	1202	1000	434
74	1015	1204	1000	454
75	1015	1207	1000	446
76	1014	1210	1001	460
77	1014	1214	1001	429
78	1013	1217	1001	426
79	1012	1219	1002	411
80	1013	1222	1002	403
81	1012	1224	1002	459
82	1013	1228	1002	436
83	1013	1231	1002	436
84	1013	1234	1003	442
85	1012	1237	1003	416
86	1011	1241	1003	406
87	1011	1245	1003	395
88	1011	1249	1003	438
89	1011	1252	1003	452
90	1011	1255	1003	418
91	1014	1258	1003	356
92	1015	1261	1003	351
93	1015	1264	1003	398
94	1015	1267	1002	432
95	1015	1270	1003	433
96	1016	1274	1002	397
97	1016	1277	1001	398
98	1017	1280	1001	397
99	1017	1283	1001	374
100	1017	1287	1001	401
101	1017	1290	1002	415
102	1016	1294	1000	399
103	1015	1297	1000	356
104	1016	1300	999	335
105	1016	1303	999	379
106	1017	1306	998	403
107	1018	1309	998	401
108	1018	1312	997	386
109	1018	1315	998	341
110	1017	1318	999	359
111	1017	1323	1000	405
112	1017	1328	1001	400
113	1016	1333	1002	351
114	1015	1337	1003	332
115	1014	1340	1003	367
116	1015	1343	1002	391
117	1016	1347	1003	373
118	1016	1349	1004	372
