day;avg_size;avg_speed;avg_senserange;n_creatures
0;1000;1000;1000;50
1;1000;999;1000;50
2;1000;1000;999;100
3;1000;1000;999;173
4;1000;1000;999;248
5;1000;1001;999;255
6;1000;1001;999;247
7;1000;1002;999;253
8;1000;1003;999;263
9;1000;1004;999;249
10;1001;1006;999;240
11;1001;1007;999;248
12;1001;1008;999;244
13;1001;1009;999;249
14;1001;1011;1000;255
15;1002;1012;1000;249
16;1003;1014;1000;244
17;1003;1015;1001;246
18;1002;1017;1001;250
19;1003;1018;1000;246
20;1003;1019;1000;242
21;1003;1020;999;241
22;1004;1022;999;248
23;1005;1023;999;251
24;1004;1025;999;246
25;1005;1027;999;246
26;1006;1029;999;253
27;1006;1030;999;241
28;1007;1031;999;241
29;1006;1032;999;242
30;1006;1033;999;235
31;1006;1034;998;229
32;1007;1035;999;226
33;1008;1036;998;227
34;1008;1038;996;229
35;1009;1039;996;229
36;1009;1040;995;229
37;1008;1042;995;229
38;1008;1043;995;224
39;1009;1045;995;223
40;1008;1046;995;225
41;1008;1048;995;224
42;1008;1049;995;220
43;1009;1051;995;221
44;1010;1052;995;219
45;1011;1054;994;220
46;1011;1055;994;230
47;1012;1056;995;231
48;1011;1057;994;219
49;1012;1058;995;225
50;1011;1060;995;234
51;1011;1062;995;229
52;1010;1063;996;230
53;1010;1064;995;230
54;1009;1065;995;226
55;1009;1067;995;219
56;1010;1067;995;231
57;1010;1069;996;229
58;1011;1070;997;217
59;1011;1071;999;215
60;1012;1072;1000;223
61;1012;1074;999;228
62;1012;1075;1000;231
63;1012;1077;1000;229
64;1012;1079;1001;224
65;1013;1080;1000;225
66;1012;1082;1000;227
67;1012;1084;1000;226
68;1012;1085;1001;221
69;1012;1087;1001;215
70;1012;1088;1001;222
71;1013;1090;1002;218
72;1012;1091;1002;223
73;1012;1093;1002;217
74;1011;1094;1001;211
75;1011;1096;1001;211
76;1011;1098;1002;208
77;1010;1099;1002;219
78;1010;1101;1002;222
79;1010;1102;1002;220
80;1010;1104;1001;218
81;1010;1106;1002;221
82;1012;1107;1003;214
83;1012;1108;1001;208
84;1012;1110;1001;210
85;1011;1111;1001;206
86;1012;1113;1000;215
87;1013;1114;1001;209
88;1015;1115;1002;216
89;1016;1117;1003;219
90;1018;1118;1004;219
91;1017;1119;1003;218
92;1018;1120;1002;216
93;1019;1121;1002;204
94;1018;1123;1002;202
95;1018;1125;1004;213
96;1017;1127;1003;210
97;1017;1129;1003;213
98;1016;1131;1005;217
99;1015;1132;1004;219
100;1017;1134;1004;217
101;1018;1136;1003;219
102;1018;1137;1004;214
103;1018;1138;1003;225
104;1018;1140;1005;223
105;1019;1141;1006;219
106;1016;1143;1006;221
107;1017;1145;1004;222
108;1018;1146;1004;214
109;1018;1147;1004;209
110;1017;1148;1004;205
111;1016;1150;1004;208
112;1016;1151;1003;201
113;1013;1152;1003;209
114;1011;1154;1003;212
115;1010;1155;1003;220
116;1007;1157;1004;212
117;1006;1158;1004;201
118;1005;1158;1003;204
119;1005;1160;1004;201
120;1004;1161;1005;196
121;1004;1161;1005;193
122;1004;1162;1006;195
123;1003;1163;1006;186
124;1002;1163;1006;187
125;1002;1164;1005;186
126;1002;1164;1004;183
127;1002;1165;1004;182
128;1001;1166;1002;188
129;1000;1167;1001;181
130;1000;1167;1000;187
131;999;1169;1000;184
132;999;1169;999;174
133;997;1170;999;171
134;995;1170;998;179
135;994;1170;997;177
136;993;1170;997;176
137;991;1170;998;175
138;990;1171;997;182
139;989;1171;997;180
140;989;1171;998;190
141;988;1172;999;203
142;987;1173;999;197
143;986;1174;999;202
144;986;1175;1000;186
145;985;1175;999;185
146;984;1176;999;187
147;983;1177;999;183
148;982;1178;1001;177
149;980;1179;1001;179
150;979;1179;1001;171
151;978;1180;1001;175
152;977;1181;1000;180
