day;avg_size;avg_speed;avg_senserange;n_creatures
0;1000;1000;1000;50
1;999;999;1000;50
2;999;999;1000;72
3;999;999;1000;66
4;999;1000;1000;69
5;1000;1000;1000;60
6;1000;1000;1000;55
7;1000;1000;1000;57
8;1000;1001;1000;59
9;1000;1001;1000;58
10;1000;1002;1000;62
11;1000;1002;1000;62
12;1001;1003;1000;60
13;1001;1003;1000;60
14;1001;1004;1000;64
15;1001;1003;1000;60
16;1000;1004;999;60
17;1000;1004;999;59
18;1000;1004;1000;61
19;1001;1004;1001;58
20;1001;1005;1001;63
21;1002;1006;1001;63
22;1002;1006;1000;61
23;1002;1006;999;65
24;1002;1007;999;66
25;1002;1007;998;59
26;1003;1008;997;61
27;1002;1008;996;59
28;1002;1008;996;53
29;1003;1008;996;55
30;1004;1009;996;58
31;1004;1009;996;54
32;1005;1009;996;58
33;1004;1010;996;58
34;1005;1010;996;59
35;1006;1012;996;56
36;1007;1012;996;58
37;1007;1011;995;54
38;1006;1012;994;59
39;1006;1014;995;58
40;1007;1014;994;56
41;1006;1015;994;52
42;1006;1015;993;59
43;1007;1016;993;56
44;1006;1016;993;58
45;1007;1017;993;60
46;1007;1018;993;58
47;1006;1020;993;63
48;1006;1021;993;59
49;1006;1021;993;56
50;1006;1021;993;56
51;1006;1023;991;59
52;1006;1024;992;56
53;1004;1024;991;55
54;1005;1025;992;60
55;1005;1026;993;59
56;1006;1028;991;61
57;1004;1029;991;55
58;1003;1030;992;58
59;1002;1030;991;53
60;1002;1031;992;58
61;1002;1032;991;58
62;1003;1033;990;61
63;1002;1035;989;58
64;1002;1036;990;56
65;1003;1036;988;58
66;1004;1036;988;59
67;1003;1036;988;57
68;1003;1035;988;54
69;1002;1036;988;62
70;1000;1036;988;60
71;1000;1038;988;58
72;1002;1038;988;53
73;1004;1039;988;52
74;1005;1039;987;53
75;1005;1040;987;54
76;1005;1041;987;51
77;1004;1042;988;59
78;1007;1042;988;57
79;1010;1042;988;54
80;1011;1042;989;53
81;1011;1043;990;57
82;1010;1044;990;53
83;1011;1044;991;52
84;1014;1044;990;54
85;1014;1044;989;54
86;1013;1044;990;56
87;1016;1044;990;58
88;1018;1044;990;56
89;1016;1045;989;58
90;1016;1045;988;58
91;1017;1046;987;57
92;1016;1047;987;52
93;1014;1047;987;54
94;1014;1048;986;52
95;1014;1048;987;56
96;1015;1048;986;50
97;1016;1048;986;55
98;1018;1048;985;54
99;1021;1049;987;56
100;1021;1049;987;52
101;1022;1050;987;52
102;1022;1051;987;48
103;1022;1052;988;45
104;1021;1054;987;51
105;1020;1054;987;54
106;1022;1054;989;57
107;1022;1053;987;54
108;1023;1054;987;55
109;1021;1055;988;58
110;1018;1057;991;53
111;1016;1058;989;44
112;1018;1059;989;51
113;1016;1059;988;50
114;1015;1058;989;56
115;1016;1058;988;54
116;1016;1059;988;52
117;1016;1059;987;57
118;1014;1059;987;54
119;1014;1061;987;53
120;1015;1062;987;50
