day;avg_size;avg_speed;avg_senserange;dominant_size;dominant_speed;dominant_sense;n_creatures
0;1000;1000;1000;0;0;0;50
1;1002;1000;1001;0;0;0;50
2;1002;1002;1003;105;58;117;85
3;1004;1009;1004;151;104;162;86
4;1007;1015;999;157;71;157;70
5;1005;1022;995;159;72;289;69
6;1007;1031;1005;179;104;358;67
7;1012;1048;1004;119;104;343;67
8;1015;1055;1003;80;80;419;62
9;1019;1061;998;106;45;499;66
10;1019;1068;996;116;16;533;60
11;1016;1084;989;70;35;473;57
12;1017;1092;991;74;18;425;54
13;1024;1098;995;74;0;407;54
14;1022;1115;998;113;0;377;53
15;1018;1124;994;166;18;388;54
16;1018;1125;992;222;18;333;54
17;1028;1132;995;204;20;326;49
18;1015;1133;984;191;21;340;47
19;1020;1127;987;183;40;367;49
20;1006;1136;985;150;37;433;53
21;1001;1147;986;122;61;367;49
22;993;1150;991;137;58;450;51
23;997;1165;1004;124;104;499;48
24;991;1186;1008;65;108;543;46
25;988;1203;995;113;90;636;44
26;993;1207;996;175;125;625;40
27;971;1210;1000;204;159;636;44
28;965;1218;997;179;153;666;39
29;956;1227;997;230;153;589;39
30;951;1228;1008;214;214;523;42
31;962;1214;1021;250;222;583;36
32;975;1214;1021;268;170;609;41
33;973;1229;1017;230;153;615;39
34;964;1232;1029;227;181;590;44
35;954;1228;1033;319;212;617;47
36;953;1226;1028;425;175;600;40
37;946;1226;1029;499;184;578;38
38;937;1211;1029;500;190;547;42
39;944;1207;1040;525;150;450;40
40;937;1210;1052;560;73;512;41
41;932;1215;1060;565;108;586;46
42;936;1213;1076;488;111;644;45
43;948;1213;1066;499;90;704;44
44;935;1212;1078;478;86;695;46
45;928;1214;1082;511;133;688;45
46;927;1218;1097;568;113;659;44
47;910;1225;1102;642;166;738;42
48;902;1228;1114;687;187;791;48
49;907;1235;1133;652;108;847;46
50;916;1241;1123;666;47;833;42
51;907;1242;1140;644;44;844;45
52;918;1242;1156;666;71;880;42
53;924;1234;1175;697;46;883;43
54;932;1226;1182;604;46;883;43
55;917;1226;1187;543;21;869;46
56;928;1225;1184;547;0;928;42
57;921;1218;1181;547;23;928;42
58;919;1229;1195;558;23;930;43
59;911;1239;1193;577;22;955;45
60;922;1251;1200;619;23;1000;42
61;929;1256;1209;547;23;1000;42
62;931;1268;1212;571;0;1000;42
63;931;1271;1217;523;0;1000;42
64;926;1273;1228;513;0;999;37
65;926;1270;1230;583;0;1000;36
66;924;1262;1226;529;0;1000;34
67;931;1263;1238;578;26;999;38
68;948;1267;1230;657;26;999;38
69;948;1265;1210;717;25;1000;39
70;960;1268;1213;750;27;1000;36
71;960;1264;1212;805;27;1000;36
72;953;1256;1221;810;0;999;37
73;957;1258;1241;820;0;1000;39
74;949;1251;1243;799;0;999;30
75;932;1238;1241;812;0;1000;32
76;918;1220;1243;823;0;1000;34
77;920;1219;1243;833;0;1000;36
78;916;1214;1238;842;0;999;38
79;921;1220;1233;837;0;1000;43
80;913;1233;1223;833;0;1000;42
81;915;1242;1220;902;0;1000;41
82;919;1247;1218;880;0;1000;42
83;920;1244;1215;883;0;1000;43
84;921;1242;1220;866;22;1000;45
85;920;1237;1225;871;51;1000;39
86;920;1234;1217;853;48;1000;41
87;920;1235;1211;866;44;1000;45
