"day;avg_size;avg_speed;avg_senserange;dominant_size;dominant_speed;dominant_sense;n_creatures"
"0;1500;500;500;0;0;0;50"
"1;1499;500;500;0;0;0;50"
"2;1500;501;501;166;88;147;102"
"3;1500;503;501;255;154;201;149"
"4;1500;505;500;309;210;286;171"
"5;1500;508;500;298;155;327;174"
"6;1500;511;500;348;106;308;178"
"7;1500;515;499;324;128;268;179"
"8;1501;520;500;352;127;294;173"
"9;1502;523;500;419;106;279;150"
"10;1502;527;502;465;80;204;161"
"11;1503;531;503;494;87;203;172"
"12;1504;535;503;524;60;201;164"
"13;1506;538;503;511;59;238;168"
"14;1506;542;503;516;70;225;155"
"15;1505;548;503;470;39;218;151"
"16;1504;553;504;410;27;315;146"
"17;1503;558;505;406;16;355;118"
"18;1501;561;500;365;7;365;126"
"19;1501;566;497;274;7;488;135"
"20;1502;569;498;234;0;627;145"
"21;1502;572;498;266;0;626;150"
"22;1502;579;494;304;0;617;128"
"23;1503;583;493;362;0;629;127"
"24;1504;587;493;399;0;646;130"
"25;1504;589;492;393;0;647;122"
"26;1505;593;492;340;0;623;138"
"27;1507;598;493;379;0;627;153"
"28;1507;604;494;413;0;601;138"
"29;1507;607;494;546;0;523;130"
"30;1505;614;494;603;0;531;126"
"31;1504;618;497;648;0;595;131"
"32;1504;623;499;634;0;619;126"
"33;1504;626;501;649;0;658;117"
"34;1505;630;501;661;0;619;121"
"35;1505;633;501;743;0;628;113"
"36;1505;636;502;752;0;683;117"
"37;1505;639;500;803;0;754;122"
"38;1505;642;500;829;0;752;117"
"39;1505;645;499;787;0;823;113"
"40;1504;647;499;712;0;814;108"
"41;1506;650;500;732;0;784;116"
"42;1506;653;502;791;0;783;120"
"43;1505;656;503;796;0;796;113"
"44;1506;657;503;784;0;853;116"
"45;1505;660;501;805;0;842;108"
"46;1505;664;501;750;0;824;108"
"47;1506;667;500;698;0;811;106"
"48;1505;671;500;697;0;807;109"
"49;1505;676;500;693;0;806;98"
"50;1508;678;499;702;0;765;94"
"51;1509;680;500;775;0;765;98"
"52;1510;682;500;806;0;806;93"
"53;1510;686;498;812;0;822;96"
"54;1511;689;498;810;0;760;100"
"55;1512;692;499;841;0;710;107"
"56;1513;694;500;861;0;792;101"
"57;1516;696;501;860;0;800;100"
"58;1518;700;501;867;0;816;98"
"59;1519;701;501;811;0;861;101"
"60;1519;704;501;762;0;881;101"
"61;1520;708;501;764;0;876;89"
"62;1523;710;499;778;0;915;95"
"63;1524;712;498;831;0;910;101"
"64;1523;716;498;793;0;876;97"
"65;1524;717;497;775;0;865;89"
"66;1521;719;497;839;0;876;81"
"67;1521;721;497;777;0;913;81"
"68;1521;724;500;777;0;944;90"
"69;1520;726;501;779;0;988;86"
"70;1518;728;500;738;0;988;88"
"71;1519;729;500;726;0;999;84"
"72;1519;732;499;730;0;1000;89"
"73;1519;734;497;746;0;1000;83"
"74;1519;737;498;835;0;999;79"
"75;1520;740;500;887;0;999;80"
"76;1518;744;501;941;0;1000;86"
"77;1519;745;501;965;0;999;88"
"78;1520;749;500;978;0;1000;92"
"79;1522;753;499;975;0;1000;82"
"80;1523;756;499;976;0;999;85"
"81;1524;757;500;977;0;999;87"
"82;1523;761;501;964;0;999;84"
"83;1518;768;501;987;0;999;79"
"84;1520;771;500;961;0;1000;77"
"85;1518;774;499;961;0;1000;77"
"86;1516;777;499;955;0;999;90"
"87;1515;783;499;951;0;1000;83"
"88;1514;786;498;945;0;1000;73"
"89;1516;787;498;931;0;1000;73"
"90;1521;791;498;958;0;1000;73"
"91;1524;796;497;1000;0;1000;73"
"92;1530;799;495;999;0;999;71"
"93;1533;802;495;999;0;999;65"
"94;1534;806;496;1000;0;1000;61"
"95;1535;808;496;1000;0;1000;60"
"96;1537;811;496;999;0;999;65"
"97;1538;812;494;999;0;999;65"
"98;1539;813;495;1000;0;1000;64"
"99;1538;814;497;999;0;999;70"
"100;1539;816;497;999;0;999;66"
"101;1542;819;498;1000;0;1000;61"
"102;1543;822;498;999;0;999;63"
"103;1542;825;497;999;0;999;63"
"104;1540;828;496;999;0;999;66"
"105;1539;829;496;1000;0;1000;60"
"106;1540;831;495;999;0;999;63"
"107;1537;832;496;1000;0;1000;60"
"108;1537;833;496;999;0;999;63"
"109;1537;836;493;999;0;999;62"
"110;1538;838;491;1000;0;1000;60"
"111;1537;839;491;999;0;999;59"
"112;1537;840;493;1000;0;1000;64"
"113;1538;843;493;1000;0;1000;57"
"114;1534;845;494;999;0;999;53"
"115;1530;847;495;999;0;999;63"
"116;1531;849;493;999;0;999;66"
"117;1531;849;494;999;0;999;69"
"118;1528;851;491;1000;0;1000;61"
"119;1526;851;488;1000;0;1000;60"
"120;1525;853;486;1000;0;1000;61"
"121;1523;857;485;1000;0;1000;60"
"122;1522;857;484;1000;0;1000;56"
"123;1521;858;484;999;0;999;62"
"124;1521;858;485;999;0;999;53"
"125;1522;861;485;999;0;999;53"
"126;1522;865;484;1000;0;1000;52"
"127;1521;867;482;999;0;999;53"
"128;1523;869;479;1000;0;1000;56"
"129;1524;870;477;1000;0;1000;57"
"130;1524;872;478;1000;0;1000;60"
"131;1523;875;479;1000;0;1000;58"
"132;1520;878;477;1000;0;1000;60"
"133;1519;883;476;1000;0;1000;50"
"134;1518;884;474;1000;0;1000;51"
"135;1518;886;476;999;0;999;59"
"136;1519;891;478;1000;0;1000;58"
"137;1519;893;481;999;0;999;54"
"138;1520;897;480;1000;0;1000;56"
"139;1522;899;480;1000;0;1000;57"
"140;1523;901;479;999;0;999;54"
"141;1523;906;478;1000;0;1000;45"
"142;1524;910;478;1000;0;1000;50"
"143;1525;913;478;1000;0;1000;48"
"144;1525;916;478;999;0;999;54"
"145;1524;917;476;1000;0;1000;56"
"146;1525;920;471;999;0;999;44"
"147;1524;923;468;1000;0;1000;43"
"148;1525;926;469;1000;0;1000;52"
"149;1525;928;472;1000;0;1000;55"
"150;1525;931;472;1000;0;1000;48"
"151;1526;933;473;1000;0;1000;45"
"152;1526;935;474;1000;0;1000;47"
"153;1527;936;477;999;0;999;46"
"154;1528;937;478;1000;0;1000;47"
"155;1528;937;475;1000;0;1000;47"
"156;1530;939;479;1000;0;1000;40"
"157;1531;939;482;1000;0;1000;45"
"158;1532;942;483;999;0;999;44"
"159;1534;946;484;1000;0;1000;42"
"160;1533;949;483;1000;0;1000;41"
"161;1534;949;481;1000;0;1000;41"
"162;1532;951;480;1000;0;1000;41"
"163;1532;955;481;1000;0;1000;41"
"164;1531;957;482;1000;0;1000;48"
"165;1530;959;482;999;0;999;53"
"166;1529;964;485;999;0;999;44"
"167;1528;966;484;1000;0;1000;42"
"168;1529;967;482;1000;0;1000;42"
"169;1531;965;483;999;0;999;46"
"170;1529;968;484;1000;0;1000;47"
"171;1528;970;481;1000;0;1000;42"
"172;1524;970;479;1000;0;1000;41"
"173;1522;971;482;1000;0;1000;32"
"174;1523;972;481;1000;0;1000;39"
"175;1520;973;482;1000;0;1000;40"
"176;1519;975;486;1000;0;1000;52"
"177;1519;977;485;1000;0;1000;43"
"178;1519;976;486;1000;0;1000;41"
"179;1519;977;485;999;0;999;38"
"180;1523;980;487;1000;0;1000;48"
"181;1525;982;483;1000;0;1000;47"
"182;1529;981;480;1000;0;1000;45"
"183;1531;982;480;1000;0;1000;43"
"184;1530;984;489;1000;0;1000;41"
"185;1526;987;489;1000;0;1000;41"
"186;1522;992;491;1000;0;1000;42"
"187;1524;996;494;1000;0;1000;39"
"188;1527;998;499;1000;0;1000;40"
"189;1524;1000;501;1000;0;1000;39"
"190;1521;1001;503;1000;0;1000;39"
"191;1520;1001;508;999;0;999;44"
"192;1519;1003;509;1000;0;1000;43"
"193;1522;1005;504;1000;0;1000;40"
"194;1523;1008;507;1000;0;1000;32"
"195;1524;1007;505;1000;0;1000;35"
"196;1526;1006;504;999;0;999;38"
"197;1525;1008;507;999;0;999;38"
"198;1522;1008;508;1000;0;1000;36"
"199;1523;1011;508;999;0;999;37"
"200;1524;1012;515;1000;0;1000;41"
"201;1524;1010;517;1000;0;1000;40"
"202;1522;1011;519;1000;0;1000;39"
"203;1523;1011;521;1000;0;1000;35"
"204;1522;1015;523;999;0;999;37"
"205;1521;1021;527;999;0;999;37"
"206;1519;1023;535;1000;0;1000;35"
"207;1525;1026;533;1000;0;1000;34"
"208;1528;1028;532;1000;0;1000;36"
"209;1527;1030;533;999;0;999;37"
"210;1526;1034;532;1000;0;1000;40"
"211;1523;1035;532;1000;0;1000;34"
"212;1521;1038;528;1000;0;1000;35"
"213;1519;1039;526;999;0;999;31"
"214;1518;1040;534;1000;0;1000;32"
"215;1519;1043;537;999;0;999;30"
"216;1520;1045;537;999;0;999;31"
"217;1519;1048;543;1000;0;1000;35"
"218;1518;1049;548;1000;0;1000;36"
"219;1518;1053;548;999;0;999;37"
"220;1522;1053;542;999;0;999;33"
"221;1520;1055;538;999;0;999;29"
"222;1520;1058;537;999;0;999;33"
"223;1518;1058;538;999;0;999;33"
"224;1518;1059;537;1000;0;1000;36"
"225;1522;1062;538;1000;0;1000;36"
"226;1522;1062;544;999;0;999;29"
"227;1520;1062;544;999;0;999;26"
"228;1519;1062;548;1000;0;1000;34"
"229;1518;1060;546;999;0;999;31"
