day;avg_size;avg_speed;avg_senserange
0;10000;800;40000
1;9998;801;40009
2;9999;801;39963
3;9999;801;39928
4;10001;803;39837
5;9972;805;39641
6;9949;809;39506
7;9901;808;39505
8;9889;805;39523
9;9875;801;39663
10;9899;803;39712
11;9854;810;40012
12;9808;813;40190
13;9828;816;40235
14;9848;823;40505
15;9844;827;40742
16;9863;826;40738
17;9971;825;40929
18;9936;830;41153
19;9835;827;41203
20;9782;829;41432
21;9765;827;41568
22;9725;826;41465
23;9696;830;41898
24;9681;828;41862
25;9549;828;41918
26;9476;827;42292
27;9456;824;42781
28;9323;827;43407
29;9227;828;44247
30;9181;822;44930
31;9000;820;45526
32;8913;809;45973
33;8852;803;45663
34;8793;801;45381
35;8700;800;45185
36;8654;797;45121
37;8583;792;45360
38;8581;790;45468
39;8563;786;45427
40;8607;781;45163
41;8621;782;44930
42;8618;783;44631
43;8633;785;44655
44;8724;786;44680
45;8762;787;45123
46;8823;787;45404
47;8726;789;45962
48;8585;792;46235
49;8590;795;46338
50;8567;794;46314
51;8554;796;46736
52;8583;795;46905
53;8470;792;46902
54;8395;792;46952
55;8348;795;46956
56;8302;798;47249
57;8270;799;47410
58;8276;797;47722
59;8212;794;47826
60;8165;797;48078
61;8157;794;47916
62;8122;793;47747
63;8073;791;47569
64;8069;794;47823
65;8002;794;47679
66;7974;802;48198
67;7885;804;48196
68;7788;813;48658
69;7806;817;48653
70;7773;822;48732
71;7694;822;48506
72;7657;825;49168
73;7671;834;49703
74;7604;836;49584
75;7540;842;49829
76;7531;850;49723
77;7543;861;49313
78;7530;867;48969
79;7553;873;49394
80;7553;881;49751
81;7607;885;49778
82;7560;892;49638
83;7561;897;49639
84;7570;900;49632
85;7545;903;49504
86;7505;901;49821
87;7466;898;49922
88;7416;906;50357
89;7358;910;50360
90;7298;914;51059
91;7238;920;51051
92;7244;930;51347
93;7203;932;51773
94;7209;939;51555
95;7260;943;50727
96;7295;946;50748
97;7279;948;51268
98;7290;947;51212
99;7258;953;52250
100;7221;948;53199
101;7183;947;54201
102;7253;956;55792
103;7177;962;56985
104;7151;967;58583
105;7138;974;59442
106;7079;988;60987
107;7047;996;62062
108;7024;1008;63050
109;6957;1019;63554
110;6978;1030;64059
111;6976;1037;64173
112;6998;1046;64451
113;7000;1048;64716
114;7052;1053;65551
115;7045;1069;65871
116;7085;1075;66265
117;7115;1080;66713
118;7135;1095;67178
119;7182;1110;67480
120;7232;1119;68087
121;7229;1130;68535
122;7274;1143;69201
123;7286;1154;69881
124;7228;1163;70363
125;7226;1168;70143
126;7222;1176;70039
127;7250;1182;70565
128;7302;1186;71469
129;7361;1200;71886
130;7358;1210;72367
131;7382;1224;72801
132;7382;1235;73312
133;7339;1255;73410
134;7311;1267;74066
135;7301;1283;75049
136;7330;1298;76003
137;7359;1317;76888
138;7381;1333;77821
139;7426;1343;78051
140;7448;1357;78431
141;7412;1372;78937
142;7296;1377;79130
143;7272;1387;79837
144;7333;1390;80729
145;7359;1402;81251
146;7508;1424;81437
147;7560;1447;82367
148;7528;1468;83019
149;7409;1487;82883
150;7385;1508;83405
151;7369;1526;83822
152;7256;1554;83631
153;7250;1581;84028
154;7232;1620;83938
155;7171;1669;83797
156;7067;1707;83851
157;7068;1746;83775
158;7102;1774;83881
159;7125;1820;83785
160;7131;1880;84430
161;7100;1924;84518
162;6975;1952;84851
163;6863;1978;85474
164;6825;2016;86075
165;6825;2046;85915
166;6794;2064;86250
167;6803;2098;86316
168;6830;2121;86548
169;6854;2160;86297
170;6762;2179;85899
171;6779;2197;85491
172;6792;2246;85141
173;6752;2271;85083
174;6740;2298;85500
175;6772;2309;85548
176;6880;2331;85438
177;6881;2365;85973
178;6879;2389;86104
179;6827;2407;86973
180;6740;2403;88082
181;6708;2420;88370
182;6740;2442;89410
183;6806;2482;90679
184;6776;2536;91152
185;6806;2587;91549
186;6766;2637;92312
187;6677;2672;92619
188;6543;2701;91763
189;6515;2732;92634
190;6483;2752;93583
191;6487;2779;94938
192;6451;2810;95933
193;6401;2825;96880
194;6251;2852;97579
195;6237;2896;97790
196;6246;2923;99111
197;6257;2965;101357
198;6185;3007;103020
199;6143;3042;103272
200;6042;3067;104436
201;6042;3109;104654
202;6040;3169;105733
203;5901;3221;107066
204;5879;3275;108575
205;5894;3334;109743
206;5917;3391;110641
207;5938;3446;111869
208;5916;3509;112272
209;5851;3552;113044
210;5884;3590;112602
211;5932;3620;112112
212;5861;3665;113163
213;5770;3691;115236
214;5669;3754;116095
215;5675;3788;116628
216;5585;3839;116963
217;5506;3899;117732
218;5374;3962;118311
219;5319;4037;117703
220;5230;4108;116362
221;5170;4148;115120
222;5100;4195;116267
223;5074;4233;117787
224;4958;4259;120270
225;4849;4306;122784
226;4822;4366;123028
227;4859;4433;123747
228;4794;4454;126498
229;4759;4505;128432
230;4695;4611;130839
231;4715;4731;129550
232;4734;4811;129518
233;4711;4863;129462
234;4691;4915;129308
235;4639;4954;129448
236;4666;5018;129582
237;4727;5076;129154
238;4709;5141;128305
239;4721;5185;126950
240;4727;5228;128148
241;4698;5290;128388
242;4572;5321;128951
243;4470;5338;129373
244;4387;5380;130415
245;4343;5417;130288
246;4365;5490;131463
247;4325;5583;131954
248;4263;5666;132677
249;4191;5711;131835
250;4194;5798;133752
251;4192;5832;133843
252;4191;5862;135145
253;4159;5920;136832
254;4088;6046;137039
255;4034;6206;135936
256;4008;6312;136963
257;3937;6389;137719
258;3961;6490;138362
259;3882;6588;136622
260;3864;6636;137207
261;3771;6685;136902
262;3758;6745;136617
263;3790;6880;137134
264;3755;6951;139060
265;3707;7080;140645
266;3719;7159;141932
267;3720;7229;142280
268;3686;7324;144038
269;3645;7394;144811
270;3609;7506;146071
271;3587;7624;147860
272;3597;7724;149440
273;3575;7876;148020
274;3519;7952;147424
275;3507;8003;146698
276;3466;8132;146963
277;3404;8275;147100
278;3395;8351;148295
279;3350;8423;148753
280;3253;8496;149394
281;3206;8570;149181
282;3196;8634;150298
283;3180;8700;150225
284;3135;8756;150583
285;3118;8859;150302
286;3091;8940;151411
287;3070;9020;151925
288;3022;9111;152065
289;2993;9189;152162
290;2995;9312;153070
291;2993;9413;152995
292;2976;9567;151892
293;2959;9726;150818
294;2957;9862;150401
295;2952;9966;150484
296;2964;10166;153007
297;2982;10238;152330
298;2966;10331;153366
299;2943;10462;155703
300;2958;10641;157004
301;2953;10748;155983
302;2943;10845;155672
303;2945;10880;154892
304;2917;10946;154909
305;2899;11101;155343
306;2894;11218;155971
307;2875;11348;156199
308;2873;11431;156115
309;2906;11562;155958
310;2901;11678;154067
311;2906;11777;157178
312;2894;11893;156835
313;2886;11981;157611
314;2849;12187;158811
315;2869;12393;159605
316;2856;12441;160410
317;2903;12592;159912
318;2906;12665;162000
319;2965;12918;160938
320;2987;13026;161737
321;2977;13120;156732
322;2958;13162;156521
323;2946;13301;153346
324;2906;13391;152192
325;2898;13440;152353
326;2920;13512;151548
327;2911;13733;149152
328;2922;13961;149621
329;2896;14190;150647
330;2860;14178;151314
331;2871;14293;151912
332;2919;14440;154702
333;2929;14495;154515
334;2891;14677;156004
335;2855;14703;156675
336;2825;14988;156675
337;2799;15109;153184
338;2772;15203;155267
339;2755;15319;154317
340;2734;15570;154190
341;2687;15770;155688
342;2666;15901;156546
343;2667;16042;157908
344;2654;16234;156223
345;2656;16420;158099
346;2636;16519;157789
347;2603;16632;158264
